siteverkey_cat2,num_previous_months_binned,months,chosen_subs_length,subscription_summary_no_market,is_in_training
MUT,0,1,1,ssc-MUT_ac-0_m-1_ccsl-1,FALSE
MUT,0,1,-1,ssc-MUT_ac-0_m-1_ccsl--1,FALSE
MUT,0,1,12,ssc-MUT_ac-0_m-1_ccsl-12,FALSE
MUT,0,1,24,ssc-MUT_ac-0_m-1_ccsl-24,FALSE
MUT,0,1,3,ssc-MUT_ac-0_m-1_ccsl-3,FALSE
MUT,0,1,gen,ssc-MUT_ac-0_m-1_ccsl-gen,FALSE
MUT,0,3,1,ssc-MUT_ac-0_m-3_ccsl-1,FALSE
MUT,0,3,-1,ssc-MUT_ac-0_m-3_ccsl--1,FALSE
MUT,0,3,12,ssc-MUT_ac-0_m-3_ccsl-12,FALSE
MUT,0,3,24,ssc-MUT_ac-0_m-3_ccsl-24,FALSE
MUT,0,3,3,ssc-MUT_ac-0_m-3_ccsl-3,FALSE
MUT,0,3,gen,ssc-MUT_ac-0_m-3_ccsl-gen,FALSE
MUT,0,12,1,ssc-MUT_ac-0_m-12_ccsl-1,FALSE
MUT,0,12,-1,ssc-MUT_ac-0_m-12_ccsl--1,FALSE
MUT,0,12,12,ssc-MUT_ac-0_m-12_ccsl-12,FALSE
MUT,0,12,24,ssc-MUT_ac-0_m-12_ccsl-24,FALSE
MUT,0,12,3,ssc-MUT_ac-0_m-12_ccsl-3,FALSE
MUT,0,12,gen,ssc-MUT_ac-0_m-12_ccsl-gen,FALSE
MUT,0,24,1,ssc-MUT_ac-0_m-24_ccsl-1,FALSE
MUT,0,24,-1,ssc-MUT_ac-0_m-24_ccsl--1,FALSE
MUT,0,24,12,ssc-MUT_ac-0_m-24_ccsl-12,FALSE
MUT,0,24,24,ssc-MUT_ac-0_m-24_ccsl-24,FALSE
MUT,0,24,3,ssc-MUT_ac-0_m-24_ccsl-3,FALSE
MUT,0,24,gen,ssc-MUT_ac-0_m-24_ccsl-gen,FALSE
MUT,1,1,1,ssc-MUT_ac-1_m-1_ccsl-1,FALSE
MUT,1,1,-1,ssc-MUT_ac-1_m-1_ccsl--1,FALSE
MUT,1,1,12,ssc-MUT_ac-1_m-1_ccsl-12,FALSE
MUT,1,1,24,ssc-MUT_ac-1_m-1_ccsl-24,FALSE
MUT,1,1,3,ssc-MUT_ac-1_m-1_ccsl-3,FALSE
MUT,1,1,gen,ssc-MUT_ac-1_m-1_ccsl-gen,FALSE
MUT,1,3,1,ssc-MUT_ac-1_m-3_ccsl-1,FALSE
MUT,1,3,-1,ssc-MUT_ac-1_m-3_ccsl--1,FALSE
MUT,1,3,12,ssc-MUT_ac-1_m-3_ccsl-12,FALSE
MUT,1,3,24,ssc-MUT_ac-1_m-3_ccsl-24,FALSE
MUT,1,3,3,ssc-MUT_ac-1_m-3_ccsl-3,FALSE
MUT,1,3,gen,ssc-MUT_ac-1_m-3_ccsl-gen,FALSE
MUT,1,12,1,ssc-MUT_ac-1_m-12_ccsl-1,FALSE
MUT,1,12,-1,ssc-MUT_ac-1_m-12_ccsl--1,FALSE
MUT,1,12,12,ssc-MUT_ac-1_m-12_ccsl-12,FALSE
MUT,1,12,24,ssc-MUT_ac-1_m-12_ccsl-24,FALSE
MUT,1,12,3,ssc-MUT_ac-1_m-12_ccsl-3,FALSE
MUT,1,12,gen,ssc-MUT_ac-1_m-12_ccsl-gen,FALSE
MUT,1,24,1,ssc-MUT_ac-1_m-24_ccsl-1,FALSE
MUT,1,24,-1,ssc-MUT_ac-1_m-24_ccsl--1,FALSE
MUT,1,24,12,ssc-MUT_ac-1_m-24_ccsl-12,FALSE
MUT,1,24,24,ssc-MUT_ac-1_m-24_ccsl-24,FALSE
MUT,1,24,3,ssc-MUT_ac-1_m-24_ccsl-3,FALSE
MUT,1,24,gen,ssc-MUT_ac-1_m-24_ccsl-gen,FALSE
MUT,2,1,1,ssc-MUT_ac-2_m-1_ccsl-1,FALSE
MUT,2,1,-1,ssc-MUT_ac-2_m-1_ccsl--1,FALSE
MUT,2,1,12,ssc-MUT_ac-2_m-1_ccsl-12,FALSE
MUT,2,1,24,ssc-MUT_ac-2_m-1_ccsl-24,FALSE
MUT,2,1,3,ssc-MUT_ac-2_m-1_ccsl-3,FALSE
MUT,2,1,gen,ssc-MUT_ac-2_m-1_ccsl-gen,FALSE
MUT,2,3,1,ssc-MUT_ac-2_m-3_ccsl-1,FALSE
MUT,2,3,-1,ssc-MUT_ac-2_m-3_ccsl--1,FALSE
MUT,2,3,12,ssc-MUT_ac-2_m-3_ccsl-12,FALSE
MUT,2,3,24,ssc-MUT_ac-2_m-3_ccsl-24,FALSE
MUT,2,3,3,ssc-MUT_ac-2_m-3_ccsl-3,FALSE
MUT,2,3,gen,ssc-MUT_ac-2_m-3_ccsl-gen,FALSE
MUT,2,12,1,ssc-MUT_ac-2_m-12_ccsl-1,FALSE
MUT,2,12,-1,ssc-MUT_ac-2_m-12_ccsl--1,FALSE
MUT,2,12,12,ssc-MUT_ac-2_m-12_ccsl-12,FALSE
MUT,2,12,24,ssc-MUT_ac-2_m-12_ccsl-24,FALSE
MUT,2,12,3,ssc-MUT_ac-2_m-12_ccsl-3,FALSE
MUT,2,12,gen,ssc-MUT_ac-2_m-12_ccsl-gen,FALSE
MUT,2,24,1,ssc-MUT_ac-2_m-24_ccsl-1,FALSE
MUT,2,24,-1,ssc-MUT_ac-2_m-24_ccsl--1,FALSE
MUT,2,24,12,ssc-MUT_ac-2_m-24_ccsl-12,FALSE
MUT,2,24,24,ssc-MUT_ac-2_m-24_ccsl-24,FALSE
MUT,2,24,3,ssc-MUT_ac-2_m-24_ccsl-3,FALSE
MUT,2,24,gen,ssc-MUT_ac-2_m-24_ccsl-gen,FALSE
MUT,3,1,1,ssc-MUT_ac-3_m-1_ccsl-1,FALSE
MUT,3,1,-1,ssc-MUT_ac-3_m-1_ccsl--1,FALSE
MUT,3,1,12,ssc-MUT_ac-3_m-1_ccsl-12,FALSE
MUT,3,1,24,ssc-MUT_ac-3_m-1_ccsl-24,FALSE
MUT,3,1,3,ssc-MUT_ac-3_m-1_ccsl-3,FALSE
MUT,3,1,gen,ssc-MUT_ac-3_m-1_ccsl-gen,FALSE
MUT,3,3,1,ssc-MUT_ac-3_m-3_ccsl-1,FALSE
MUT,3,3,-1,ssc-MUT_ac-3_m-3_ccsl--1,FALSE
MUT,3,3,12,ssc-MUT_ac-3_m-3_ccsl-12,FALSE
MUT,3,3,24,ssc-MUT_ac-3_m-3_ccsl-24,FALSE
MUT,3,3,3,ssc-MUT_ac-3_m-3_ccsl-3,FALSE
MUT,3,3,gen,ssc-MUT_ac-3_m-3_ccsl-gen,FALSE
MUT,3,12,1,ssc-MUT_ac-3_m-12_ccsl-1,FALSE
MUT,3,12,-1,ssc-MUT_ac-3_m-12_ccsl--1,FALSE
MUT,3,12,12,ssc-MUT_ac-3_m-12_ccsl-12,FALSE
MUT,3,12,24,ssc-MUT_ac-3_m-12_ccsl-24,FALSE
MUT,3,12,3,ssc-MUT_ac-3_m-12_ccsl-3,FALSE
MUT,3,12,gen,ssc-MUT_ac-3_m-12_ccsl-gen,FALSE
MUT,3,24,1,ssc-MUT_ac-3_m-24_ccsl-1,FALSE
MUT,3,24,-1,ssc-MUT_ac-3_m-24_ccsl--1,FALSE
MUT,3,24,12,ssc-MUT_ac-3_m-24_ccsl-12,FALSE
MUT,3,24,24,ssc-MUT_ac-3_m-24_ccsl-24,FALSE
MUT,3,24,3,ssc-MUT_ac-3_m-24_ccsl-3,FALSE
MUT,3,24,gen,ssc-MUT_ac-3_m-24_ccsl-gen,FALSE
MUT,5,1,1,ssc-MUT_ac-5_m-1_ccsl-1,FALSE
MUT,5,1,-1,ssc-MUT_ac-5_m-1_ccsl--1,FALSE
MUT,5,1,12,ssc-MUT_ac-5_m-1_ccsl-12,FALSE
MUT,5,1,24,ssc-MUT_ac-5_m-1_ccsl-24,FALSE
MUT,5,1,3,ssc-MUT_ac-5_m-1_ccsl-3,FALSE
MUT,5,1,gen,ssc-MUT_ac-5_m-1_ccsl-gen,FALSE
MUT,5,3,1,ssc-MUT_ac-5_m-3_ccsl-1,FALSE
MUT,5,3,-1,ssc-MUT_ac-5_m-3_ccsl--1,FALSE
MUT,5,3,12,ssc-MUT_ac-5_m-3_ccsl-12,FALSE
MUT,5,3,24,ssc-MUT_ac-5_m-3_ccsl-24,FALSE
MUT,5,3,3,ssc-MUT_ac-5_m-3_ccsl-3,FALSE
MUT,5,3,gen,ssc-MUT_ac-5_m-3_ccsl-gen,FALSE
MUT,5,12,1,ssc-MUT_ac-5_m-12_ccsl-1,FALSE
MUT,5,12,-1,ssc-MUT_ac-5_m-12_ccsl--1,FALSE
MUT,5,12,12,ssc-MUT_ac-5_m-12_ccsl-12,FALSE
MUT,5,12,24,ssc-MUT_ac-5_m-12_ccsl-24,FALSE
MUT,5,12,3,ssc-MUT_ac-5_m-12_ccsl-3,FALSE
MUT,5,12,gen,ssc-MUT_ac-5_m-12_ccsl-gen,FALSE
MUT,5,24,1,ssc-MUT_ac-5_m-24_ccsl-1,FALSE
MUT,5,24,-1,ssc-MUT_ac-5_m-24_ccsl--1,FALSE
MUT,5,24,12,ssc-MUT_ac-5_m-24_ccsl-12,FALSE
MUT,5,24,24,ssc-MUT_ac-5_m-24_ccsl-24,FALSE
MUT,5,24,3,ssc-MUT_ac-5_m-24_ccsl-3,FALSE
MUT,5,24,gen,ssc-MUT_ac-5_m-24_ccsl-gen,FALSE
MUT,8,1,1,ssc-MUT_ac-8_m-1_ccsl-1,FALSE
MUT,8,1,-1,ssc-MUT_ac-8_m-1_ccsl--1,FALSE
MUT,8,1,12,ssc-MUT_ac-8_m-1_ccsl-12,FALSE
MUT,8,1,24,ssc-MUT_ac-8_m-1_ccsl-24,FALSE
MUT,8,1,3,ssc-MUT_ac-8_m-1_ccsl-3,FALSE
MUT,8,1,gen,ssc-MUT_ac-8_m-1_ccsl-gen,TRUE
MUT,8,3,1,ssc-MUT_ac-8_m-3_ccsl-1,FALSE
MUT,8,3,-1,ssc-MUT_ac-8_m-3_ccsl--1,FALSE
MUT,8,3,12,ssc-MUT_ac-8_m-3_ccsl-12,FALSE
MUT,8,3,24,ssc-MUT_ac-8_m-3_ccsl-24,FALSE
MUT,8,3,3,ssc-MUT_ac-8_m-3_ccsl-3,FALSE
MUT,8,3,gen,ssc-MUT_ac-8_m-3_ccsl-gen,TRUE
MUT,8,12,1,ssc-MUT_ac-8_m-12_ccsl-1,FALSE
MUT,8,12,-1,ssc-MUT_ac-8_m-12_ccsl--1,FALSE
MUT,8,12,12,ssc-MUT_ac-8_m-12_ccsl-12,FALSE
MUT,8,12,24,ssc-MUT_ac-8_m-12_ccsl-24,FALSE
MUT,8,12,3,ssc-MUT_ac-8_m-12_ccsl-3,FALSE
MUT,8,12,gen,ssc-MUT_ac-8_m-12_ccsl-gen,TRUE
MUT,8,24,1,ssc-MUT_ac-8_m-24_ccsl-1,FALSE
MUT,8,24,-1,ssc-MUT_ac-8_m-24_ccsl--1,FALSE
MUT,8,24,12,ssc-MUT_ac-8_m-24_ccsl-12,FALSE
MUT,8,24,24,ssc-MUT_ac-8_m-24_ccsl-24,FALSE
MUT,8,24,3,ssc-MUT_ac-8_m-24_ccsl-3,FALSE
MUT,8,24,gen,ssc-MUT_ac-8_m-24_ccsl-gen,FALSE
MUT,11,1,1,ssc-MUT_ac-11_m-1_ccsl-1,FALSE
MUT,11,1,-1,ssc-MUT_ac-11_m-1_ccsl--1,FALSE
MUT,11,1,12,ssc-MUT_ac-11_m-1_ccsl-12,FALSE
MUT,11,1,24,ssc-MUT_ac-11_m-1_ccsl-24,FALSE
MUT,11,1,3,ssc-MUT_ac-11_m-1_ccsl-3,FALSE
MUT,11,1,gen,ssc-MUT_ac-11_m-1_ccsl-gen,TRUE
MUT,11,3,1,ssc-MUT_ac-11_m-3_ccsl-1,FALSE
MUT,11,3,-1,ssc-MUT_ac-11_m-3_ccsl--1,FALSE
MUT,11,3,12,ssc-MUT_ac-11_m-3_ccsl-12,FALSE
MUT,11,3,24,ssc-MUT_ac-11_m-3_ccsl-24,FALSE
MUT,11,3,3,ssc-MUT_ac-11_m-3_ccsl-3,FALSE
MUT,11,3,gen,ssc-MUT_ac-11_m-3_ccsl-gen,TRUE
MUT,11,12,1,ssc-MUT_ac-11_m-12_ccsl-1,FALSE
MUT,11,12,-1,ssc-MUT_ac-11_m-12_ccsl--1,FALSE
MUT,11,12,12,ssc-MUT_ac-11_m-12_ccsl-12,FALSE
MUT,11,12,24,ssc-MUT_ac-11_m-12_ccsl-24,FALSE
MUT,11,12,3,ssc-MUT_ac-11_m-12_ccsl-3,FALSE
MUT,11,12,gen,ssc-MUT_ac-11_m-12_ccsl-gen,TRUE
MUT,11,24,1,ssc-MUT_ac-11_m-24_ccsl-1,FALSE
MUT,11,24,-1,ssc-MUT_ac-11_m-24_ccsl--1,FALSE
MUT,11,24,12,ssc-MUT_ac-11_m-24_ccsl-12,FALSE
MUT,11,24,24,ssc-MUT_ac-11_m-24_ccsl-24,FALSE
MUT,11,24,3,ssc-MUT_ac-11_m-24_ccsl-3,FALSE
MUT,11,24,gen,ssc-MUT_ac-11_m-24_ccsl-gen,FALSE
MUT,14,1,1,ssc-MUT_ac-14_m-1_ccsl-1,FALSE
MUT,14,1,-1,ssc-MUT_ac-14_m-1_ccsl--1,FALSE
MUT,14,1,12,ssc-MUT_ac-14_m-1_ccsl-12,FALSE
MUT,14,1,24,ssc-MUT_ac-14_m-1_ccsl-24,FALSE
MUT,14,1,3,ssc-MUT_ac-14_m-1_ccsl-3,FALSE
MUT,14,1,gen,ssc-MUT_ac-14_m-1_ccsl-gen,TRUE
MUT,14,3,1,ssc-MUT_ac-14_m-3_ccsl-1,FALSE
MUT,14,3,-1,ssc-MUT_ac-14_m-3_ccsl--1,FALSE
MUT,14,3,12,ssc-MUT_ac-14_m-3_ccsl-12,FALSE
MUT,14,3,24,ssc-MUT_ac-14_m-3_ccsl-24,FALSE
MUT,14,3,3,ssc-MUT_ac-14_m-3_ccsl-3,FALSE
MUT,14,3,gen,ssc-MUT_ac-14_m-3_ccsl-gen,TRUE
MUT,14,12,1,ssc-MUT_ac-14_m-12_ccsl-1,FALSE
MUT,14,12,-1,ssc-MUT_ac-14_m-12_ccsl--1,FALSE
MUT,14,12,12,ssc-MUT_ac-14_m-12_ccsl-12,FALSE
MUT,14,12,24,ssc-MUT_ac-14_m-12_ccsl-24,FALSE
MUT,14,12,3,ssc-MUT_ac-14_m-12_ccsl-3,FALSE
MUT,14,12,gen,ssc-MUT_ac-14_m-12_ccsl-gen,TRUE
MUT,14,24,1,ssc-MUT_ac-14_m-24_ccsl-1,FALSE
MUT,14,24,-1,ssc-MUT_ac-14_m-24_ccsl--1,FALSE
MUT,14,24,12,ssc-MUT_ac-14_m-24_ccsl-12,FALSE
MUT,14,24,24,ssc-MUT_ac-14_m-24_ccsl-24,FALSE
MUT,14,24,3,ssc-MUT_ac-14_m-24_ccsl-3,FALSE
MUT,14,24,gen,ssc-MUT_ac-14_m-24_ccsl-gen,FALSE
MUT,26,1,1,ssc-MUT_ac-26_m-1_ccsl-1,FALSE
MUT,26,1,-1,ssc-MUT_ac-26_m-1_ccsl--1,FALSE
MUT,26,1,12,ssc-MUT_ac-26_m-1_ccsl-12,FALSE
MUT,26,1,24,ssc-MUT_ac-26_m-1_ccsl-24,FALSE
MUT,26,1,3,ssc-MUT_ac-26_m-1_ccsl-3,FALSE
MUT,26,1,gen,ssc-MUT_ac-26_m-1_ccsl-gen,TRUE
MUT,26,3,1,ssc-MUT_ac-26_m-3_ccsl-1,FALSE
MUT,26,3,-1,ssc-MUT_ac-26_m-3_ccsl--1,FALSE
MUT,26,3,12,ssc-MUT_ac-26_m-3_ccsl-12,FALSE
MUT,26,3,24,ssc-MUT_ac-26_m-3_ccsl-24,FALSE
MUT,26,3,3,ssc-MUT_ac-26_m-3_ccsl-3,FALSE
MUT,26,3,gen,ssc-MUT_ac-26_m-3_ccsl-gen,TRUE
MUT,26,12,1,ssc-MUT_ac-26_m-12_ccsl-1,FALSE
MUT,26,12,-1,ssc-MUT_ac-26_m-12_ccsl--1,FALSE
MUT,26,12,12,ssc-MUT_ac-26_m-12_ccsl-12,FALSE
MUT,26,12,24,ssc-MUT_ac-26_m-12_ccsl-24,FALSE
MUT,26,12,3,ssc-MUT_ac-26_m-12_ccsl-3,FALSE
MUT,26,12,gen,ssc-MUT_ac-26_m-12_ccsl-gen,TRUE
MUT,26,24,1,ssc-MUT_ac-26_m-24_ccsl-1,FALSE
MUT,26,24,-1,ssc-MUT_ac-26_m-24_ccsl--1,FALSE
MUT,26,24,12,ssc-MUT_ac-26_m-24_ccsl-12,FALSE
MUT,26,24,24,ssc-MUT_ac-26_m-24_ccsl-24,FALSE
MUT,26,24,3,ssc-MUT_ac-26_m-24_ccsl-3,FALSE
MUT,26,24,gen,ssc-MUT_ac-26_m-24_ccsl-gen,FALSE
MUT,38,1,1,ssc-MUT_ac-38_m-1_ccsl-1,FALSE
MUT,38,1,-1,ssc-MUT_ac-38_m-1_ccsl--1,FALSE
MUT,38,1,12,ssc-MUT_ac-38_m-1_ccsl-12,FALSE
MUT,38,1,24,ssc-MUT_ac-38_m-1_ccsl-24,FALSE
MUT,38,1,3,ssc-MUT_ac-38_m-1_ccsl-3,FALSE
MUT,38,1,gen,ssc-MUT_ac-38_m-1_ccsl-gen,TRUE
MUT,38,3,1,ssc-MUT_ac-38_m-3_ccsl-1,FALSE
MUT,38,3,-1,ssc-MUT_ac-38_m-3_ccsl--1,FALSE
MUT,38,3,12,ssc-MUT_ac-38_m-3_ccsl-12,FALSE
MUT,38,3,24,ssc-MUT_ac-38_m-3_ccsl-24,FALSE
MUT,38,3,3,ssc-MUT_ac-38_m-3_ccsl-3,FALSE
MUT,38,3,gen,ssc-MUT_ac-38_m-3_ccsl-gen,TRUE
MUT,38,12,1,ssc-MUT_ac-38_m-12_ccsl-1,FALSE
MUT,38,12,-1,ssc-MUT_ac-38_m-12_ccsl--1,FALSE
MUT,38,12,12,ssc-MUT_ac-38_m-12_ccsl-12,FALSE
MUT,38,12,24,ssc-MUT_ac-38_m-12_ccsl-24,FALSE
MUT,38,12,3,ssc-MUT_ac-38_m-12_ccsl-3,FALSE
MUT,38,12,gen,ssc-MUT_ac-38_m-12_ccsl-gen,TRUE
MUT,38,24,1,ssc-MUT_ac-38_m-24_ccsl-1,FALSE
MUT,38,24,-1,ssc-MUT_ac-38_m-24_ccsl--1,FALSE
MUT,38,24,12,ssc-MUT_ac-38_m-24_ccsl-12,FALSE
MUT,38,24,24,ssc-MUT_ac-38_m-24_ccsl-24,FALSE
MUT,38,24,3,ssc-MUT_ac-38_m-24_ccsl-3,FALSE
MUT,38,24,gen,ssc-MUT_ac-38_m-24_ccsl-gen,FALSE
MUT,39,1,1,ssc-MUT_ac-39_m-1_ccsl-1,FALSE
MUT,39,1,-1,ssc-MUT_ac-39_m-1_ccsl--1,FALSE
MUT,39,1,12,ssc-MUT_ac-39_m-1_ccsl-12,FALSE
MUT,39,1,24,ssc-MUT_ac-39_m-1_ccsl-24,FALSE
MUT,39,1,3,ssc-MUT_ac-39_m-1_ccsl-3,FALSE
MUT,39,1,gen,ssc-MUT_ac-39_m-1_ccsl-gen,TRUE
MUT,39,3,1,ssc-MUT_ac-39_m-3_ccsl-1,FALSE
MUT,39,3,-1,ssc-MUT_ac-39_m-3_ccsl--1,FALSE
MUT,39,3,12,ssc-MUT_ac-39_m-3_ccsl-12,FALSE
MUT,39,3,24,ssc-MUT_ac-39_m-3_ccsl-24,FALSE
MUT,39,3,3,ssc-MUT_ac-39_m-3_ccsl-3,FALSE
MUT,39,3,gen,ssc-MUT_ac-39_m-3_ccsl-gen,TRUE
MUT,39,12,1,ssc-MUT_ac-39_m-12_ccsl-1,FALSE
MUT,39,12,-1,ssc-MUT_ac-39_m-12_ccsl--1,FALSE
MUT,39,12,12,ssc-MUT_ac-39_m-12_ccsl-12,FALSE
MUT,39,12,24,ssc-MUT_ac-39_m-12_ccsl-24,FALSE
MUT,39,12,3,ssc-MUT_ac-39_m-12_ccsl-3,FALSE
MUT,39,12,gen,ssc-MUT_ac-39_m-12_ccsl-gen,TRUE
